Name;address;Link;categoria principale;tags;da provare
Pescheria Ristorante Gallina;Piazza della Repubblica, 14 10152 Turin Italy;https://g.page/PescheriaGallina?share;ristorante;pesce,san salvario;
La Pergola;Via dei Magoni 9, 05018 Orvieto, Province of Terni, Italy;https://g.page/PergolaOrvieto?share;ristorante;dehor,umbria;
Smith's British;Via Virle, 19, 10138 Torino;https://g.page/Smithsbritish?share;ristorante;brunch,caro,san paolo,british;
La Cantina in Collina;Via Marconi 9, 15040 Cuccaro Monferrato, Province of Alessandria, Italy;https://goo.gl/maps/EnhuTdQosp86Cuxj7;ristorante;dehor,monferrato,agriturismo;
Agriturismo Ca' Brusa;Località Manzoni, 26 12065 Monforte d'Alba Italy;https://goo.gl/maps/brfJ9m6afiTmLLrn6;ristorante;dehor,langhe,agriturismo;
Ramos Generales;Avenida Maipú, Ushuaia, Tierra del Fuego, Argentina;https://goo.gl/maps/gy7dDGfWzNqhFRNt7;caffè;ristorante,patagonia;
La Zaina Restaurant;Calle Gobernador Gregores 1057, El Calafate, 9405 Santa Cruz, Argentina;https://g.page/lazainarestaurant?share;ristorante;carne,patagonia;
Str.eat;Via Santa Giulia 21/F, 10124 Torino, Italy;https://goo.gl/maps/2zBAwVCfA5o6EbXU7;ristorante;fusion,vanchiglia,torino;
5esquinas trattoria;Habana 104 esq cuarteles Habana Vieja, L'Avana 10400;https://goo.gl/maps/2zBAwVCfA5o6EbXU7;brunch;caffè,cuba;
Brooklyn Bowl;61 Wythe Ave, Brooklyn, NY  11249, United States;https://goo.gl/maps/FtShDy68syDAkA136;pub;burger,live music;
Mercato di Colón;Carrer de Jorge Juan, 19, 46004 València, Spagna;https://goo.gl/maps/ri5ugNpvgoMxJaDRA;caffè;pasticceria,aperitivo;
Horchatería Santa Catalina;Plaza de Santa Catalina, 6, 46001 Valencia, València, Spain;https://goo.gl/maps/9w3rduk66YcooRcx8;caffè;pasticceria;
